routine_idx,elapsed_min,numer,denom,routine_start,rate
1277,66.93333333333334,0,1,2026-06-16 21:31:11.173000+00:00,0.0
1278,56.05,0,2,2026-06-16 22:31:49.147000+00:00,0.0
1279,41.36666666666667,1,5,2026-06-16 23:13:11.194000+00:00,0.2
1280,34.81666666666667,1,5,2026-06-16 23:47:51.464000+00:00,0.2
1281,38.25,0,1,2026-06-17 00:21:11.558000+00:00,0.0
1282,80.13333333333334,1,2,2026-06-17 01:41:51.728000+00:00,0.5
1285,106.35,0,1,2026-06-17 05:51:29.660000+00:00,0.0
1286,113.85,0,2,2026-06-17 07:47:23.654000+00:00,0.0
1288,103.35,0,1,2026-06-17 11:10:35.634000+00:00,0.0
1289,89.7,1,2,2026-06-17 12:40:58.327000+00:00,0.5
1290,79.4,0,2,2026-06-17 14:00:03.489000+00:00,0.0
1294,58.31666666666667,0,1,2026-06-17 18:46:29.193000+00:00,0.0
1295,58.21666666666667,0,5,2026-06-17 19:45:02.115000+00:00,0.0
1296,50.95,0,1,2026-06-17 20:32:48.079000+00:00,0.0
1298,44.2,0,1,2026-06-17 22:14:58.196000+00:00,0.0
1299,40.36666666666667,0,1,2026-06-17 22:56:15.347000+00:00,0.0
1302,44.93333333333333,0,1,2026-06-18 00:49:00.543000+00:00,0.0
1303,61.666666666666664,0,2,2026-06-18 01:45:39.365000+00:00,0.0
1304,63.61666666666667,0,1,2026-06-18 02:53:58.618000+00:00,0.0
1305,88.08333333333333,0,1,2026-06-18 04:20:06.878000+00:00,0.0
1307,100.86666666666666,0,2,2026-06-18 07:47:49.963000+00:00,0.0
1308,95.26666666666667,0,2,2026-06-18 09:22:20.292000+00:00,0.0
1311,80.45,0,3,2026-06-18 13:49:03.809000+00:00,0.0
1317,52.733333333333334,0,1,2026-06-18 20:22:28.260000+00:00,0.0
1322,41.88333333333333,0,1,2026-06-19 00:04:52.549000+00:00,0.0
1323,46.016666666666666,0,2,2026-06-19 00:47:44.027000+00:00,0.0
1325,60.35,0,1,2026-06-19 02:54:53.682000+00:00,0.0
1326,88.5,0,1,2026-06-19 04:23:26.595000+00:00,0.0
1327,108.66666666666667,0,1,2026-06-19 06:09:40.345000+00:00,0.0
1329,98.71666666666667,0,1,2026-06-19 09:58:42.558000+00:00,0.0
1330,99.91666666666667,1,1,2026-06-19 11:44:34.594000+00:00,1.0
1331,81.03333333333333,0,3,2026-06-19 13:03:01.993000+00:00,0.0
1332,70.25,0,1,2026-06-19 14:17:59.576000+00:00,0.0
1333,81.1,0,2,2026-06-19 15:36:50.336000+00:00,0.0
1334,59.68333333333333,0,5,2026-06-19 16:34:16.565000+00:00,0.0
1335,53.8,0,3,2026-06-19 17:33:58.727000+00:00,0.0
1336,52.1,2,3,2026-06-19 18:23:07.306000+00:00,0.6666666666666666
1337,44.9,0,3,2026-06-19 19:06:24.857000+00:00,0.0
1339,47.15,1,2,2026-06-19 20:29:47.462000+00:00,0.5
1340,35.9,0,2,2026-06-19 21:05:28.881000+00:00,0.0
1341,29.083333333333332,0,2,2026-06-19 21:33:21.567000+00:00,0.0
1343,27.183333333333334,0,4,2026-06-19 22:31:56.919000+00:00,0.0
1346,30.583333333333332,0,4,2026-06-20 00:00:13.479000+00:00,0.0
1348,58.916666666666664,0,2,2026-06-20 01:37:25.335000+00:00,0.0
1349,55.43333333333333,0,1,2026-06-20 02:36:41.409000+00:00,0.0
1351,89.0,0,1,2026-06-20 05:22:51.492000+00:00,0.0
1352,90.76666666666667,0,2,2026-06-20 06:55:47.647000+00:00,0.0
1353,76.63333333333334,0,4,2026-06-20 08:11:09.793000+00:00,0.0
1354,80.75,1,2,2026-06-20 09:43:33.522000+00:00,0.5
1356,53.333333333333336,0,3,2026-06-20 11:26:05.614000+00:00,0.0
1357,43.43333333333333,0,4,2026-06-20 12:11:38.645000+00:00,0.0
1359,42.483333333333334,0,2,2026-06-20 13:43:46.745000+00:00,0.0
1361,44.38333333333333,0,1,2026-06-20 15:29:10.044000+00:00,0.0
1363,35.3,1,3,2026-06-20 16:43:25.829000+00:00,0.3333333333333333
1364,35.31666666666667,1,3,2026-06-20 17:15:58.998000+00:00,0.3333333333333333
1365,42.06666666666667,0,4,2026-06-20 18:00:12.002000+00:00,0.0
1367,30.966666666666665,0,2,2026-06-20 19:04:33.881000+00:00,0.0
1369,35.083333333333336,0,1,2026-06-20 20:15:51.609000+00:00,0.0
1370,33.68333333333333,0,1,2026-06-20 20:49:08.852000+00:00,0.0
1371,29.05,1,3,2026-06-20 21:20:21.621000+00:00,0.3333333333333333
1376,32.21666666666667,0,3,2026-06-20 23:51:00.536000+00:00,0.0
1380,80.2,0,3,2026-06-21 03:56:45.476000+00:00,0.0
1381,107.55,0,1,2026-06-21 05:46:08.047000+00:00,0.0
1382,104.73333333333333,0,2,2026-06-21 07:29:19.173000+00:00,0.0
1384,83.95,0,1,2026-06-21 10:22:22.464000+00:00,0.0
1386,50.31666666666667,0,2,2026-06-21 12:27:50.274000+00:00,0.0
1387,45.766666666666666,0,5,2026-06-21 13:13:09.554000+00:00,0.0
1388,42.85,0,1,2026-06-21 13:55:27.208000+00:00,0.0
1389,50.21666666666667,0,1,2026-06-21 14:38:20.446000+00:00,0.0
1390,50.583333333333336,0,2,2026-06-21 15:31:00.008000+00:00,0.0
1392,42.083333333333336,0,5,2026-06-21 17:04:21.726000+00:00,0.0
1393,39.3,0,1,2026-06-21 17:40:16.413000+00:00,0.0
1394,35.96666666666667,0,1,2026-06-21 18:16:52.815000+00:00,0.0
1395,41.18333333333333,0,4,2026-06-21 18:59:53.597000+00:00,0.0
1396,43.13333333333333,0,7,2026-06-21 19:40:33.601000+00:00,0.0
1398,37.233333333333334,0,4,2026-06-21 20:55:43.119000+00:00,0.0
1399,40.86666666666667,0,1,2026-06-21 21:38:54.670000+00:00,0.0
1401,35.06666666666667,0,2,2026-06-21 22:41:49.184000+00:00,0.0
1402,34.06666666666667,0,1,2026-06-21 23:15:49.760000+00:00,0.0
1404,28.65,0,1,2026-06-22 00:23:48.948000+00:00,0.0
1406,67.86666666666666,0,1,2026-06-22 02:51:47.340000+00:00,0.0
1409,141.68333333333334,0,1,2026-06-22 08:43:41.021000+00:00,0.0
1411,125.45,1,2,2026-06-22 12:49:45.353000+00:00,0.5
1419,40.233333333333334,0,4,2026-06-22 23:03:44.547000+00:00,0.0
1421,27.233333333333334,1,1,2026-06-23 00:07:41.243000+00:00,1.0
1422,39.483333333333334,0,2,2026-06-23 00:50:43.455000+00:00,0.0
1423,50.666666666666664,0,2,2026-06-23 01:39:51.983000+00:00,0.0
1424,52.43333333333333,0,3,2026-06-23 02:31:51.536000+00:00,0.0
1426,86.71666666666667,0,1,2026-06-23 05:25:01.579000+00:00,0.0
1427,82.76666666666667,0,1,2026-06-23 06:44:40.783000+00:00,0.0
1429,82.25,2,3,2026-06-23 09:31:56.435000+00:00,0.6666666666666666
1430,79.35,0,1,2026-06-23 10:50:27.461000+00:00,0.0
1431,64.26666666666667,0,1,2026-06-23 11:58:21.315000+00:00,0.0
1432,57.2,0,1,2026-06-23 12:54:51.974000+00:00,0.0
1433,58.766666666666666,1,3,2026-06-23 13:54:45.302000+00:00,0.3333333333333333
1434,57.88333333333333,0,2,2026-06-23 14:52:27.690000+00:00,0.0
1435,62.8,0,3,2026-06-23 15:59:28.930000+00:00,0.0
1436,53.61666666666667,0,1,2026-06-23 16:48:09.063000+00:00,0.0
1437,49.016666666666666,0,2,2026-06-23 17:42:05.067000+00:00,0.0
1438,46.06666666666667,0,2,2026-06-23 18:25:33.580000+00:00,0.0
1439,46.46666666666667,0,1,2026-06-23 19:14:47.074000+00:00,0.0
1441,49.733333333333334,0,1,2026-06-23 20:40:59.848000+00:00,0.0
1442,41.083333333333336,0,2,2026-06-23 21:19:31.122000+00:00,0.0
1449,54.15,0,1,2026-06-24 01:26:49.121000+00:00,0.0
1453,81.48333333333333,0,3,2026-06-24 06:46:18.608000+00:00,0.0
1454,84.45,0,3,2026-06-24 08:10:59.234000+00:00,0.0
1455,67.56666666666666,0,3,2026-06-24 09:16:54.486000+00:00,0.0
1456,78.96666666666667,0,1,2026-06-24 10:37:06.041000+00:00,0.0
1457,63.36666666666667,1,3,2026-06-24 11:42:00.724000+00:00,0.3333333333333333
1458,50.28333333333333,2,3,2026-06-24 12:29:06.408000+00:00,0.6666666666666666
1462,52.05,0,2,2026-06-24 16:33:06.286000+00:00,0.0
1463,45.7,0,1,2026-06-24 17:18:59.099000+00:00,0.0
1465,39.65,0,1,2026-06-24 18:47:18.073000+00:00,0.0
1468,43.65,1,2,2026-06-24 21:06:02.222000+00:00,0.5
1469,37.833333333333336,1,2,2026-06-24 21:44:01.776000+00:00,0.5
1472,31.516666666666666,0,2,2026-06-24 23:18:17.864000+00:00,0.0
