tweet_id,feed,posted_at,snapshot_at,snapshot_impressions,current_at,current_impressions,current_likes,author_followers
2078215446466343375,xxl_dump,2026-07-17T20:29:08+00:00,2026-07-18T14:28:26.183+00:00,55923,2026-07-22T10:05:48.608Z,63139,484,5766
2078216036810158174,xxl_dump,2026-07-17T20:31:29+00:00,2026-07-18T14:28:26.183+00:00,143,2026-07-22T10:05:51.148Z,390,7,170
2078216625149366738,xxl_dump,2026-07-17T20:33:49+00:00,2026-07-18T14:28:26.183+00:00,35506,2026-07-22T10:02:00.901Z,39155,1001,1755633
2078217327271707014,xxl_dump,2026-07-17T20:36:36+00:00,2026-07-18T14:28:26.183+00:00,4705,2026-07-22T10:05:48.608Z,5890,203,55904
2078217921457721589,xxl_dump,2026-07-17T20:38:58+00:00,2026-07-18T14:28:26.183+00:00,72,2026-07-22T10:05:51.148Z,76,0,204
2078218448484610521,xxl_dump,2026-07-17T20:41:04+00:00,2026-07-18T14:28:26.183+00:00,5672,2026-07-22T10:02:00.901Z,11326,194,223
2078218927302386071,xxl_dump,2026-07-17T20:42:58+00:00,2026-07-18T14:28:26.183+00:00,99780,2026-07-22T10:05:48.608Z,125587,5414,136275
2078219425040196069,xxl_dump,2026-07-17T20:44:57+00:00,2026-07-18T14:28:26.183+00:00,253582,2026-07-22T10:05:51.148Z,482713,8812,9935247
2078220070648476027,xxl_dump,2026-07-17T20:47:30+00:00,2026-07-18T14:28:26.183+00:00,1137449,2026-07-22T10:02:00.901Z,1239306,4235,1572
2078220978879148489,xxl_dump,2026-07-17T20:51:07+00:00,2026-07-18T14:28:26.183+00:00,1265823,2026-07-22T10:05:48.608Z,2001063,6775,58411
2078221652815384584,xxl_dump,2026-07-17T20:53:48+00:00,2026-07-18T14:28:26.183+00:00,46,2026-07-22T10:05:51.148Z,52,0,184
2078223214946480503,xxl_dump,2026-07-17T21:00:00+00:00,2026-07-18T14:28:26.183+00:00,820894,2026-07-22T10:05:48.608Z,1471479,83709,22000
2078223946881683763,xxl_dump,2026-07-17T21:02:55+00:00,2026-07-18T14:28:26.183+00:00,81,2026-07-22T10:05:51.148Z,87,0,2229
